title,link,thumbnail,description,view,uploadedd_time,channel,channel_url
That's why you don't wanna play with Lion #DiamondPlatnumz #shortsvideo #shorts,https://www.youtube.com/shorts/AfPhDE7BWTA,,,356K views,12 days ago,GoldMyneTV,https://www.youtube.com/@GoldmyneTv
"HONEST MISTAKE (New Movie) Maurice Sam, Sonia Uche, Lydia Usang 2023 Nigerian Nollywood Movie",https://www.youtube.com/watch?v=q4xaICtAvEg,,"HONEST MISTAKE (New Movie) Maurice Sam, Sonia Uche, Lydia Usang 2023 Nigerian Nollywood Movie

SUBSCRIBE NOW https://www.youtube.com/channel/UC0M6BJj039bknQaHNiiOekA?sub_confirmation=1

Watch...",289K views,6 days ago,GoldMyneTV,https://www.youtube.com/@GoldmyneTv
Omah Lay - safe haven (Official Music Video),https://www.youtube.com/watch?v=dYwpLAw9nhw,,"The official music video for Omah Lay's ""safe haven""
Listen to Boy Alone OUT NOW: https://omahlay.lnk.to/BoyAlone

FOLLOW OMAH LAY:
https://www.instagram.com/omah_lay/
https://twitter.com/Omah_Lay...",775K views,8 days ago,UEFA,https://www.youtube.com/@UEFA
Chelsea 2-2 Nottingham Forest | Highlights | Premier League 22/23,https://www.youtube.com/watch?v=C5bPA1-p1kQ,,"Highlights from Chelsea's thrilling 13/5/23 Premier League draw with Nottingham Forest at Stamford Bridge. Raheem Sterling scored a brace for the blues (51', 58') with Taiwo Awoniyi (13', 62')...",993K views,5 days ago,UEFA,https://www.youtube.com/@UEFA
FAST X | Final Trailer,https://www.youtube.com/watch?v=eoOaKN4qCKw,,"The end of the road begins Friday. Watch the FINAL TRAILER Now. #FASTX 

Get tickets now: https://tickets.fastxmovie.com/

The end of the road begins. 

Fast X, the tenth film in the Fast &...",6.8M views,4 days ago,Johnny Drille,https://www.youtube.com/channel/UCr2CrvCc_tu8dkcmik0SLeA
HIGHLIGHTS! Man City 4-0 Real Madrid | CITY SECURE UCL FINAL SPOT WITH STUNNING WIN OVER REAL MADRID,https://www.youtube.com/watch?v=AbP2_pXLkFE,,"City secured a place in the Champions League final with a breath-taking victory over current holders Real Madrid.

Pep Guardiola’s side completed an incredible 4-0 win in a pulsating second...",7.7M views,1 day ago,Johnny Drille,https://www.youtube.com/channel/UCr2CrvCc_tu8dkcmik0SLeA
A deadly wedding | Wura Episode 65 - 68 preview | Showmax Originals,https://www.youtube.com/watch?v=NVXegyhSWFc,,"As the entire Iperindo gather for the wedding, Lolu drowns himself in alcohol and sadness. The guests wait and wait, and as everyone starts to worry about the groom's no-show, Wura and Tony...",24K views,3 days ago,Daily Fails,https://www.youtube.com/@DailyFails
Unexpected Life Hack,https://www.youtube.com/shorts/AudGmTxDmpo,,Subscribe With Notis! #Surfnboy #Shorts,8.2M views,3 days ago,Daily Fails,https://www.youtube.com/@DailyFails
"It Wasn’t the Tiles in His Bathroom, It Was…” Dagunro’ Son Drops B*mbshell on Murphy Afolabi’s Death",https://www.youtube.com/watch?v=m1F5KyNxAeM,,"“It Wasn’t the Tiles in His Bathroom That Made Him Slip, It Was…” Actor Dagunro’s Son Drops B*mbshell on Murphy Afolabi’s Death
Join GboahTv channel to get access to perks:
https://www....",131K views,2 days ago,Arise News,https://www.youtube.com/@AriseNewsChannel
WHAT YOU NEED TO KNOW AT THE BURIAL OF MURPHY AFOLABI,https://www.youtube.com/watch?v=zUmVdXQmGdc,,"Don't forget to subscribe: http://bit.ly/1Otl8Fx

Watch more interesting videos: https://bit.ly/3cgoe8y

Follow GoldmyneTV On: 
http://Twitter.com/goldmynetv
http://Instagram.com/goldmynetv...",39K views,3 days ago,Arise News,https://www.youtube.com/@AriseNewsChannel
"Tinubu Back In Europe, Peter Obi; Pastor Preaches in Heels In Côte d’Ivoire",https://www.youtube.com/watch?v=YEkM91z0JWY,,"Order Adovz: https://adovz.com

Find me on Instagram: http://www.instagram.com/adeolafayehun
Twitter: http://www.twitter.com/adeolafayehun
Facebook: http://www.facebook.com/adeolafayehun",151K views,7 days ago,African Glitz TV,https://www.youtube.com/@AfricanGlitzTV
A DUNIYA SEASON 9 OFFICIAL TRAILER,https://www.youtube.com/watch?v=OYD7AslRK3I,,,72K views,4 days ago,African Glitz TV,https://www.youtube.com/@AfricanGlitzTV
"MAN CRUSH - RAY EMORDI, SHAZNAY OKAWA, LILIAN AFEGBAI 2023 EXCLUSIVE NIGERIAN NOLLYWOOD MOVIE",https://www.youtube.com/watch?v=IjsFJKnsEQY,,"MAN CRUSH - RAY EMORDI, SHAZNAY OKAWA, LILIAN AFEGBAI 2023 EXCLUSIVE NIGERIAN NOLLYWOOD MOVIE

Bossladyflix tv is a platform for the best Nollywood movies, the latest Nigerian movies featuring...",295K views,8 days ago,Aston Villa Football Club,https://www.youtube.com/@avfcofficial
FAMILY COMMOTION 😂 | Twyse and Family,https://www.youtube.com/watch?v=oldfzmwtGtA,,"#TwyseAndFamily

Twyse and Family THE MOVIE - https://www.reelhouse.org/twyseereme/twyse-and-family-the-movie


SOCIAL MEDIA:
Instagram: https://www.instagram.com/twyse_116/
Twitter: https://www.tw...",258K views,2 weeks ago,Aston Villa Football Club,https://www.youtube.com/@avfcofficial
I Only Came 2Pick My Daughter Frm School But End Up Falling Luv Wit D Por Gateman Moment I Saw Him-N,https://www.youtube.com/watch?v=SrvO7xpqEbU,,"CLICK ON THIS LINK FOR THE COMPLETE AUDIO https://youtu.be/mQurbF2K3RI complete audio link for this movie. Pls click on the back link to watch the original audio
 #stay Turn On This Channel#...",112K views,2 days ago,US Open Tennis Championships,https://www.youtube.com/@usopen
All My Life,https://www.youtube.com/watch?v=F_oTotMOM2A,,"Provided to YouTube by Alamo

All My Life · Lil Durk · J. Cole

All My Life

℗ 2023 Alamo Records, LLC/Sony Music Entertainment

Released on: 2023-05-12

Associated Performer: Lil Durk...",2M views,7 days ago,US Open Tennis Championships,https://www.youtube.com/@usopen
Collab of the year😂 #shorts,https://www.youtube.com/shorts/tLJOcgp4k7I,,,171M views,11 days ago,Bella Shmurda,https://www.youtube.com/channel/UCJrWgnKkJMqIbW4ipOYyrtA
Martial And Garnacho Scoring Again! ⚽️🙌 | Man Utd 2-0 Wolves | Highlights,https://www.youtube.com/watch?v=9i4CK-Tz3mo,,Watch the short highlights from Manchester United's 2-0 victory over Wolves at Old Trafford in the Premier League. Goals from Alejandro Garnacho and Anthony Martial sealed the three points...,2.7M views,5 days ago,Bella Shmurda,https://www.youtube.com/channel/UCJrWgnKkJMqIbW4ipOYyrtA
TIWA SAVAGE JUBILATES AFTER HER PERFORMANCE AT KING CHARLES CORONATION CONCERT #shorts #fyp #viral,https://www.youtube.com/shorts/b2O7VwqoBIw,,,300K views,10 days ago,Blockbuster English Movies,https://www.youtube.com/@blockbusterenglishmovies
Woli Agba invited a guest that scattered the church | WOLI AGBA | SISI QUADRI,https://www.youtube.com/watch?v=eQyRZ8KX6TU,,#woliagba #woliagbaseries #funnyvideo #sundayservice series,347K views,11 days ago,Blockbuster English Movies,https://www.youtube.com/@blockbusterenglishmovies
Big Brother Ibadan - Latest Yoruba 2023 Comedy Wale Akorede | Sisi Quadri | Okele | Biola Fowosire,https://www.youtube.com/watch?v=IPoLD2ICvt0,,Big Brother takes this year's biggest competition to Ibadan where people of weird characters are selected to win the ultimate prize of #10 Millionaira. Twelve insane people in one house where...,1.2M views,3 weeks ago,Fabiosa Stories,https://www.youtube.com/@fabiosastories8628
